Vendas* do mês ,"R$ 15.074,41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2026,Modalidade,03/01/2026,Modalidade,05/01/2026,Modalidade,06/01/2026,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 3.881,84",,"R$ 1.370,42",,"R$ 6.276,38",,"R$ 3.545,77",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",,"R$ 0,00",
"R$ 35,75",Recebimento Crediario,"R$ 68,09",Recebimento Crediario,"R$ 120,00",Dinheiro,"R$ 80,99",Recebimento Crediario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 351,24",Recebimento Crediario,"R$ 89,99",Parcelado 2 a 4 Sicredi,"R$ 143,00",Recebimento Crediario,"R$ 242,99",Pix Sicredi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 117,00",Pix Sicredi,"R$ 116,99",Débito Sicredi,"R$ 162,00",Pix Sicredi,"R$ 134,33",Recebimento Crediario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 84,98",Recebimento Crediario,"R$ 81,00",Recebimento Crediario,"R$ 50,00",Recebimento Crediario,"R$ 70,00",Recebimento Crediario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 108,00",Recebimento Crediario,"R$ 149,90",Recebimento Crediario,"R$ 48,38",Pix Sicredi,"R$ 100,00",Recebimento Crediario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 150,00",Dinheiro,"R$ 53,98",Crédito Av Sicredi,"R$ 100,00",Recebimento Crediario,"R$ 98,00",Recebimento Crediario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 107,99",Pix Sicredi,"R$ 179,99",Débito Sicredi,"R$ 50,00",Recebimento Crediario,"R$ 144,00",Recebimento Crediario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 250,00",Dinheiro,"R$ 145,50",Recebimento Crediario,"R$ 45,00",Recebimento Crediario,"R$ 130,00",Recebimento Crediario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 436,50",Dinheiro,"R$ 200,00",Dinheiro,"R$ 379,98",Parcelado 2 a 4 Sicredi,"R$ 100,00",Recebimento Crediario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 99,99",Recebimento Crediario,"R$ 36,00",Crédito Av Sicredi,"R$ 161,99",Débito Sicredi,"R$ 120,00",Recebimento Crediario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 80,99",Crédito Av Sicredi,"R$ 42,00",Débito Sicredi,"R$ 379,99",Parcelado 5 a 6 Sicredi,"R$ 229,99",Parcelado 2 a 4 Sicredi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 125,99",Crédito Av Sicredi,"R$ 116,99",Crédito Av Sicredi,"R$ 58,50",Débito Sicredi,"R$ 90,00",Recebimento Crediario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 50,00",Dinheiro,"R$ 89,99",Parcelado 2 a 4 Sicredi,"R$ 116,99",Crédito Av Sicredi,"R$ 200,00",Recebimento Crediario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 310,00",Recebimento Crediario,,,"R$ 812,46",Recebimento Crediario,"R$ 107,99",Débito Sicredi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 252,00",Dinheiro,,,"R$ 100,00",Recebimento Crediario,"R$ 135,00",Pix Sicredi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 188,98",Crédito Av Sicredi,,,"R$ 88,00",Recebimento Crediario,"R$ 72,50",Recebimento Crediario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 107,50",Recebimento Crediario,,,"R$ 160,00",Dinheiro,"R$ 89,05",Recebimento Crediario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 135,00",Pix Sicredi,,,"R$ 65,00",Recebimento Crediario,"R$ 250,00",Recebimento Crediario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 125,98",Débito Sicredi,,,"R$ 190,00",Recebimento Crediario,"R$ 190,00",Recebimento Crediario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 100,00",Recebimento Crediario,,,"R$ 107,65",Recebimento Crediario,"R$ 78,00",Recebimento Crediario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 243,98",Crediário,,,"R$ 265,50",Crédito Av Sicredi,"R$ 89,99",Recebimento Crediario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 119,99",Crediário,,,"R$ 204,65",Recebimento Crediario,"R$ 193,00",Recebimento Crediario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 299,98",Crediário,,,"R$ 71,99",Débito Sicredi,"R$ 169,99",Crediário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"R$ 70,00",Recebimento Crediario,"R$ 29,99",Crediário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"R$ 225,50",Recebimento Crediario,"R$ 119,98",Crediário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"R$ 252,50",Recebimento Crediario,"R$ 279,98",Crediário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"R$ 50,00",Recebimento Crediario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"R$ 106,00",Recebimento Crediario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"R$ 305,97",Pix Sicredi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"R$ 206,50",Recebimento Crediario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"R$ 135,00",Pix Sicredi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"R$ 100,00",Dinheiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"R$ 162,88",Pix Sicredi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"129,99",Crediário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"R$ 334,98",Crediário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"R$ 119,99",Crediário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"R$ 195,99",Crediário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,